"|","name","lines","lat","line","lng"
"77TH STREET-LEXINGTON AVE","77 St","6","40.773603","Lexington","-73.959578"
"63RD STREET-LEXINGTON AVE","Lexington Av/63 St","F","40.764881","63rd Street","-73.966411"
"LORIMER STREET-BROADWAY","Lorimer St","J,M","40.703454","Jamaica","-73.946536"
"NASSAU AVE-MANHATTAN AVE","Nassau Av","G","40.723765","Crosstown","-73.950566"
"FLUSHING AVE-BROADWAY","Flushing Av","J,M","40.700847","Jamaica","-73.941710"
"8TH AVENUE-14TH STREET","8 Av","A,C,E,L","40.739550","Canarsie","-74.002389"
"NOSTRAND AVE-FULTON ST","Nostrand Av","A,C","40.680228","Fulton Street","-73.949414"
"174TH-175TH ST-GRAND CONCOU","174-175 Sts","B,D","40.846354","Concourse","-73.909047"
"AVENUE J-EAST 16TH STREET","Avenue J","B,Q","40.625140","Brighton","-73.960798"
"CORTELYOU RD-EAST 16TH ST","Cortelyou Rd","B,Q","40.641314","Brighton","-73.963996"
"103RD ST-ROOSEVELT AVE","103 St-Corona Plaza","7","40.749787","Flushing","-73.862389"
"15TH ST-PROSPECT PARK WEST","15 St-Prospect Park","F,G","40.660763","Prospect Park","-73.978992"
"BOWLING GREEN & BROADWAY","Bowling Green","4,5","40.704629","Lexington","-74.013502"
"BROADWAY - UNION AVENUE","Broadway","G","40.705114","Crosstown","-73.950062"
"CLASSON AVENUE-LAFAYETTE AV","Classon Av","G","40.688781","Crosstown","-73.959871"
"BEACH 25TH STREET-WAVECREST","Beach 25 St","A","40.599670","Far Rockaway","-73.761596"
"ATLANTIC AVENUE","Atlantic Av","B,D,N,Q,R,2,3,4,5","40.684976","Eastern Parkway","-73.977880"
"174TH STREET-SOUTHERN BLVD","174 St","2,5","40.837306","White Plains","-73.887287"
"NEPTUNE AVE-MCDONALD AVENUE","Neptune Av","F","40.580576","Culver","-73.974443"
"21ST STREET-JACKSON AVENUE","21 St","G","40.744552","Crosstown","-73.948425"
"FRANK AVENUE-BEACH 44TH ST","Beach 44 St","A","40.592897","Far Rockaway","-73.775715"
"JAMAICA CENTER-PARSONS BLVD","Jamaica Center-Parsons/Archer","E,J,Z","40.702353","Archer Avenue","-73.799784"
"FULTON & WILLIAM STREETS","Fulton St","A,C,J,Z,2,3,4,5","40.709458","Clark Street","-74.006139"
"WEST 4TH ST-WASHINGTON SQ","W 4 St-Wash Sq","A,B,C,D,E,F,M","40.733259","8th Avenue","-73.999615"
"BUHRE AVE-WESTCHESTER AVE","Buhre Av","6","40.847185","Pelham","-73.832264"
"157TH STREET-BROADWAY","157 St","1","40.833860","7th Ave-Bway","-73.944620"
"EUCLID AVE-PITKIN AVE","Euclid Av","A,C","40.675533","Fulton Street","-73.871742"
"AVENUE P-MCDONALD AVENUE","Avenue P","F","40.609041","Culver","-73.972904"
"190TH STREET-OVERLOOK TERR","190 St","A","40.858899","8th Avenue","-73.932702"
"FORT HAMILTON PARKWAY-62ND","Fort Hamilton Pkwy","N","40.632179","Sea Beach","-74.006658"
"UTICA AVE-STUYVESANT AVE","Utica Av","A,C","40.679346","Fulton Street","-73.931987"
"DITMAS AVE-MCDONALD AVE","Ditmas Av","F","40.635389","Culver","-73.977914"
"59TH STREET & LEXINGTON AVE","59 St","N,Q,R,4,5,6","40.762069","Lexington","-73.968016"
"JAY ST-METROTECH","Jay St-MetroTech","A,C,F,R","40.693491","Fulton Street","-73.987089"
"SPRING STREET-6TH AVENUE","Spring St","C,E","40.725583","8th Avenue","-74.003747"
"34TH STREET & 7TH AVENUE","34 St-Penn Station","1,2,3","40.751020","7th Ave-Bway","-73.990323"
"ASTORIA BLVD & 31ST STREET","Astoria Blvd","N,Q","40.770870","Astoria","-73.916935"
"30TH AVENUE & 31ST STREET","30 Av","N,Q","40.766963","Astoria","-73.921192"
"HUNTERS PT AVE-49TH AVE","Hunters Point Av","7","40.742405","Flushing","-73.948110"
"65TH STREET-BROADWAY","65 St","M,R","40.749330","Queens","-73.897382"
"18TH AVE-MCDONALD AVE","18 Av","F","40.630562","Culver","-73.976995"
"CARROLL ST-PRESIDENT ST","Carroll St","F,G","40.680944","Prospect Park","-73.994247"
"59TH STREET/COLUMBUS CIRCLE","59 St-Columbus Circle","A,B,C,D,1","40.767642","7th Ave-Bway","-73.981235"
"51ST STREET & LEXINGTON AVE","51 St","E,M,6","40.757059","Lexington","-73.971570"
"ST LAWRENCE AVE-WEST AVE","St Lawrence Av","6","40.831466","Pelham","-73.867410"
"FOREST AVENUE-PUTNAM AVENUE","Forest Av","M","40.704729","Myrtle Avenue","-73.902243"
"169TH STREET & HILLSIDE AVE","169 St","F","40.710563","Queens","-73.792853"
"BAY RIDGE AVE-4TH AVENUE","Bay Ridge Av","R","40.634768","4th Avenue","-74.023339"
"AVENUE I-MCDONALD AVENUE","Avenue I","F","40.626163","Culver","-73.976177"
"7TH AVENUE-9TH STREET","7 Av","F,G","40.667004","Prospect Park","-73.981331"
"VAN SICLEN AVE-PITKIN AVE","Van Siclen Av","A,C","40.672479","Fulton Street","-73.890164"
"225TH ST-WHITE PLAINS ROAD","225 St","2,5","40.887660","White Plains","-73.860444"
"HOLLAND-BEACH 90TH STREET","Beach 90 St","H","40.587814","Rockaway","-73.814037"
"HOYT STREET-HOYT STREET","Hoyt St","2,3","40.690388","Eastern Parkway","-73.985299"
"LIVONIA AVE-VAN SINDEREN AV","Livonia Av","L","40.663749","Canarsie","-73.900482"
"42ND STREET & 6TH AVENUE","42 St-Bryant Pk","B,D,F,M,7","40.754832","6th Avenue","-73.983657"
"MORGAN AVENUE-HARRISON PL","Morgan Av","L","40.706317","Canarsie","-73.931696"
"WILSON AVENUE-MOFFAT STREET","Wilson Av","L","40.688805","Canarsie","-73.904741"
"9TH AVENUE-39TH STREET","9 Av","D","40.646337","West End","-73.994489"
"DYCKMAN STREET-BROADWAY","Dyckman St","A","40.865342","8th Avenue","-73.926964"
"155TH STREET-ST NICHOLAS AV","155 St","C","40.830921","8th Avenue","-73.941100"
"BOROUGH HALL - COURT STREET","Borough Hall","R,2,3,4,5","40.693569","Clark Street","-73.990599"
"BERGEN STREET-SMITH STREET","Bergen St","F,G","40.686727","Prospect Park","-73.990269"
"CLINTON AVENUE-FULTON ST","Clinton-Washington Avs","C","40.683317","Fulton Street","-73.966741"
"103RD STREET-BROADWAY","103 St","1","40.799223","7th Ave-Bway","-73.968271"
"FREEMAN ST-SOUTHERN BLVD","Freeman St","2,5","40.830177","White Plains","-73.891482"
"238TH STREET-BROADWAY","238 St","1","40.885226","7th Ave-Bway","-73.900439"
"ROCKAWAY BLVD-LIBERTY AVE","Rockaway Blvd","A","40.680158","Liberty Avenue","-73.845131"
"VAN WYCK BLVD-METROPOLITAN","Jamaica-Van Wyck","E","40.701263","Archer Avenue","-73.816372"
"69TH STREET-ROOSEVELT AVE","69 St","7","40.746509","Flushing","-73.896268"
"MORRISON AVE & WESTCHESTER","Morrison Av-Soundview","6","40.829641","Pelham","-73.874447"
"AQUEDUCT RACE TRACK","Aqueduct Racetrack","A","40.672190","Rockaway","-73.834446"
"KINGSTON AVE-THROOP AVE","Kingston-Throop Avs","A,C","40.679804","Fulton Street","-73.941119"
"SEVENTH AVENUE & WEST 53RD","7 Av","B,D,E","40.762937","Queens","-73.981578"
"FORT HAMILTON PKWY-45TH ST","Fort Hamilton Pkwy","D","40.640180","West End","-73.994220"
"CHAUNCEY STREET-ROCKAWAY AV","Chauncey St","J,Z","40.683417","Jamaica","-73.911242"
"HALSEY STREET-BROADWAY","Halsey St","J","40.685847","Jamaica","-73.915807"
"20TH AVENUE-62ND STREET","20 Av","N","40.617341","Sea Beach","-73.984840"
"155TH STREET-8TH AVENUE","155 St","B,D","40.830313","Concourse","-73.936687"
"28TH STREET & BROADWAY","28 St","N,R","40.745089","Broadway","-73.988472"
"96TH STREET-LEXINGTON AVE","96 St","6","40.785903","Lexington","-73.950695"
"55TH ST-NEW UTRECHT AVE","55 St","D","40.631389","West End","-73.995262"
"UNION STREET-4TH AVENUE","Union St","R","40.677171","4th Avenue","-73.983020"
"SIMPSON ST-WESTCHESTER AVE","Simpson St","2,5","40.824358","White Plains","-73.892724"
"HUNTS PT AVE-SOUTHERN BLVD","Hunts Point Av","6","40.820819","Pelham","-73.890442"
"BEDFORD PARK BLVD-JEROME AV","Bedford Pk Blvd-Lehman College","4","40.873528","Jerome","-73.889754"
"BRONX PARK EAST","Bronx Park East","2,5","40.849128","White Plains","-73.868213"
"SARATOGA AVENUE","Saratoga Av","3","40.661558","New Lots","-73.915225"
"FRANKLIN STREET-WEST BWAY","Franklin St","1","40.719001","7th Ave-Bway","-74.006675"
"SHEEPSHEAD BAY ROAD","Sheepshead Bay","B,Q","40.587302","Brighton","-73.954224"
"LEFFERTS BLVD-LIBERTY AVE","Ozone Park-Lefferts Blvd","A","40.686103","Liberty Avenue","-73.824314"
"PRINCE STREET & BROADWAY","Prince St","N,R","40.724220","Broadway","-73.997633"
"YORK STREET-JAY STREET","York St","F","40.701380","6th Avenue","-73.986655"
"77TH STREET-4TH AVENUE","77 St","R","40.629503","4th Avenue","-74.025452"
"125TH STREET","125 St","A,B,C,D","40.810879","8th Avenue","-73.952318"
"241ST ST-WHITE PLAINS RD","Wakefield-241 St","2,5","40.903509","White Plains","-73.850124"
"207TH STREET-BROADWAY","Inwood-207 St","A","40.867653","8th Avenue","-73.920949"
"75TH STREET & ELDERTS LANE","75 St-Elderts Ln","J,Z","40.691285","Jamaica","-73.866425"
"GUN HILL ROAD-SEYMOUR","Gun Hill Rd","5","40.870117","Dyre Avenue","-73.845869"
"GUNHILL RD-WHITE PLAINS RD","Gun Hill Rd","2,5","40.877779","White Plains","-73.866185"
"CHRISTOPHER ST-SHERIDAN SQ","Christopher St-Sheridan Sq","1","40.733402","7th Ave-Bway","-74.002748"
"4TH AVENUE-9TH STREET","4 Av-9 St","F,G,R","40.670387","4th Avenue","-73.988480"
"NEVINS STREET","Nevins St","2,3,4,5","40.688085","Eastern Parkway","-73.980243"
"BAY RIDGE - 95TH STREET","95 St","R","40.616189","4th Avenue","-74.031234"
"PENNSYLVANIA AVENUE","Pennsylvania Av","3","40.664869","New Lots","-73.893779"
"EAST 105TH ST-FARRAGUT ROAD","East 105 St","L","40.651278","Canarsie","-73.898862"
"23RD STREET-ELY AVENUE","Court Sq-23 St","E,G,M,7","40.747706","Queens","-73.944626"
"MIDDLETOWN ROAD-WESTCHESTER","Middletown Rd","6","40.843935","Pelham","-73.836386"
"BROADWAY & 31ST STREET","Broadway","N,Q","40.762217","Astoria","-73.925349"
"KINGSBRIDGE RD-196TH ST","Kingsbridge Rd","B,D","40.867688","Concourse","-73.892739"
"50TH STREET-NEW UTRECHT AVE","50 St","D","40.636139","West End","-73.994702"
"BAY 50TH STREET-STILLWELL","Bay 50 St","D","40.588066","West End","-73.983498"
"WOODHAVEN BOULEVARD","Woodhaven Blvd","J,Z","40.693451","Jamaica","-73.852556"
"149TH ST-GRAND CONCOURSE","149 St-Grand Concourse","2,4,5","40.818405","Jerome","-73.927101"
"BROAD CHANNEL-NOEL ROAD","Broad Channel","A,H","40.608007","Rockaway","-73.815967"
"23RD STREET & 8TH AVENUE","23 St","C,E","40.746483","8th Avenue","-73.997142"
"HOWARD BEACH-159TH AVE","Howard Beach-JFK Airport","A","40.660372","Rockaway","-73.830369"
"111TH STREET-LENOX AVENUE","Central Park North (110 St)","2,3","40.799033","Lenox","-73.952058"
"AVENUE U-EAST 16TH STREET","Avenue U","B,Q","40.598978","Brighton","-73.956001"
"111TH STREET-ROOSEVELT AVE","111 St","7","40.751551","Flushing","-73.855628"
"BERGEN STREET","Bergen St","2,3","40.680695","Eastern Parkway","-73.974748"
"183RD STREET-JEROME AVENUE","183 St","4","40.858453","Jerome","-73.903690"
"UNION TURNPIKE-KEW GARDENS","Kew Gardens-Union Tpke","E,F","40.714073","Queens","-73.829917"
"BROAD STREET & WALL STREET","Broad St","J,Z","40.706911","Nassau Loop","-74.010494"
"METROPOLITAN AVENUE","Middle Village-Metropolitan Av","M","40.712082","Myrtle Avenue","-73.88954"
"PRESIDENT ST-NOSTRAND AVE","President St","2,5","40.668145","Nostrand","-73.950458"
"LEXINGTON AVENUE","Lexington Av/53 St","E,M,6","40.757685","Queens","-73.969125"
"149TH STREET & 3RD AVENUE","3 Av-149 St","2,5","40.816265","White Plains","-73.917456"
"CANAL ST-LAFAYETTE ST EAST","Canal St","J,N,Q,R,Z,6","40.718304","Broadway","-74.000138"
"PROSPECT AVENUE-4TH AVENUE","Prospect Av","R","40.665058","4th Avenue","-73.993002"
"WOODLAWN ROAD","Woodlawn","4","40.886737","Jerome","-73.878120"
"215TH STREET","215 St","1","40.869729","7th Ave-Bway","-73.914954"
"ESSEX ST-DELANCEY ST","Delancey St-Essex St","F,J,M,Z","40.718841","6th Avenue","-73.987902"
"DYCKMAN STREET","Dyckman St","1","40.861187","7th Ave-Bway","-73.925078"
"CANAL STREET-VARICK STREET","Canal St","1","40.722497","7th Ave-Bway","-74.005994"
"KINGS HIGHWAY-WEST 7TH ST","Kings Hwy","N","40.605107","Sea Beach","-73.980578"
"WOODHAVEN BLVD-QUEENS BLVD","Woodhaven Blvd","M,R","40.733041","Queens","-73.870334"
"QUEENSBORO PLAZA","Queensboro Plaza","N,Q,7","40.750835","Flushing","-73.939671"
"BURKE AVE-WHITE PLAINS ROAD","Burke Av","2,5","40.871631","White Plains","-73.867283"
"STRAITON AVE-BEACH 60TH ST","Beach 60 St","A","40.592478","Far Rockaway","-73.789410"
"33RD STREET-QUEENS BLVD","33 St-Rawson St","7","40.744724","Flushing","-73.931533"
"GREENPOINT AVE","Greenpoint Av","G","40.730122","Crosstown","-73.954049"
"CHURCH AVE-MCDONALD AVE","Church Av","F,G","40.642692","Prospect Park","-73.979260"
"45TH STREET-4TH AVENUE","45 St","R","40.649389","4th Avenue","-74.009333"
"49TH STREET & 7TH AVENUE","49 St","N,Q,R","40.760454","Broadway","-73.983388"
"CHURCH AVENUE & NOSTRAND AV","Church Av","2,5","40.650748","Nostrand","-73.949384"
"LAFAYETTE AV-WASHINGTON AV","Clinton-Washington Avs","G","40.688157","Crosstown","-73.965579"
"CORTLANDT STREET","Cortlandt St","R","40.710435","Broadway","-74.011066"
"MYRTLE AVENUE-BROADWAY","Myrtle Av","J,M,Z","40.696893","Jamaica","-73.935461"
"42ND STREET & 8TH AVENUE","42 St-Port Authority Bus Terminal","A,C,E,N,Q,R,GS,1,2,3,7","40.757286","8th Avenue","-73.989582"
"AVENUE M-EAST 16TH STREET","Avenue M","B,Q","40.617928","Brighton","-73.959454"
"MOTT AVENUE-BEACH 22ND ST","Far Rockaway-Mott Av","A","40.604657","Far Rockaway","-73.754178"
"PROSPECT PARK-EMPIRE BLVD","Prospect Park","B,Q,FS","40.662727","Brighton","-73.962249"
"PARKSIDE AVE-OCEAN AVE","Parkside Av","B,Q","40.655221","Brighton","-73.961516"
"MONTROSE AVENUE","Montrose Av","L","40.707819","Canarsie","-73.939749"
"CLEVELAND STREET-FULTON ST","Cleveland St","J","40.679656","Jamaica","-73.885731"
"138TH STREET-3RD AVE","3 Av-138 St","6","40.810831","Pelham","-73.926655"
"ELMHURST AVE-BROADWAY","Elmhurst Av","M,R","40.742066","Queens","-73.881039"
"90TH STREET/ELMHURST AVENUE","90 St-Elmhurst Av","7","40.748318","Flushing","-73.876432"
"SEASIDE BEACH-105TH STREET","Beach 105 St","H","40.583248","Rockaway","-73.827163"
"68TH STREET-HUNTER COLLEGE","68 St-Hunter College","6","40.767863","Lexington","-73.963898"
"57TH STREET & 7TH AVENUE","57 St-7 Av","N,Q,R","40.765639","Broadway","-73.979764"
"EDGEMERE-BEACH 36TH STREET","Beach 36 St","A","40.595297","Far Rockaway","-73.768206"
"42ND STREET/TIMES SQUARE","Times Sq-42 St","A,C,E,N,Q,R,GS,1,2,3,7","40.755575","7th Ave-Bway","-73.986311"
"86TH STREET-4TH AVENUE","86 St","R","40.623498","4th Avenue","-74.028204"
"BROOK AVENUE-138TH STREET","Brook Av","6","40.807580","Pelham","-73.918957"
"71ST STREET-NEW UTRECHT AVE","71 St","D","40.618889","West End","-73.998832"
"72ND STREET-CENTRAL PK WEST","72 St","B,C","40.776431","8th Avenue","-73.975977"
"110TH STREET-LEXINGTON AVE","110 St","6","40.794682","Lexington","-73.944319"
"BAY PARKWAY-86TH STREET","Bay Pkwy","D","40.601898","West End","-73.993538"
"86TH ST-CENTRAL PARK WEST","86 St","B,C","40.785480","8th Avenue","-73.969458"
"46TH STREET-BROADWAY","46 St","M,R","40.756868","Queens","-73.914303"
"WEST 6TH STREET-SURF AVENUE","West 8 St-NY Aquarium","F,Q","40.575929","Coney Island","-73.976747"
"BEVERLY RD-NOSTRAND AVE","Beverly Rd","2,5","40.645046","Nostrand","-73.948684"
"FORDHAM RD/GRAND CONCOURSE","Fordham Rd","B,D","40.862608","Concourse","-73.896662"
"167TH STREET-RIVER AVENUE","167 St","4","40.835726","Jerome","-73.921059"
"207TH STREET","207 St","1","40.864599","7th Ave-Bway","-73.918681"
"33RD STREET-PARK AVENUE","33 St","6","40.746550","Lexington","-73.981533"
"NORTHERN BLVD-BROADWAY","Northern Blvd","M,R","40.753428","Queens","-73.906847"
"SENECA AVENUE-PALMETTO ST","Seneca Av","M","40.702780","Myrtle Avenue","-73.907515"
"METROPOLITAN AVE-LORIMER ST","Lorimer St","G,L","40.713908","Canarsie","-73.949262"
"GRAND AVE-QUEENS BOULEVARD","Grand Av-Newtown","M,R","40.736277","Queens","-73.876424"
"3RD AVENUE-14TH STREET","3 Av","L","40.733122","Canarsie","-73.986548"
"MYRTLE AVE-GATES AVENUE","Myrtle-Wyckoff Avs","L,M","40.699814","Canarsie","-73.911295"
"NECK ROAD-EAST 16TH STREET","Neck Rd","B,Q","40.595020","Brighton","-73.955120"
"LIBERTY AVE-PENNSYLVANIA AV","Liberty Av","A,C","40.674268","Fulton Street","-73.896312"
"FULTON STREET","Fulton St","A,C,J,Z,2,3,4,5","40.710166","Lexington","-74.009424"
"GATES AVENUE-BROADWAY","Gates Av","J,Z","40.690142","Jamaica","-73.923062"
"96TH STREET-BROADWAY","96 St","1,2,3","40.794312","7th Ave-Bway","-73.972015"
"PLAYLAND-BEACH 98TH STREET","Beach 98 St","H","40.585342","Rockaway","-73.820249"
"STILLWELL AVE-CONEY ISLAND","Coney Island-Stillwell Av","D,F,N,Q","40.576900","Coney Island","-73.980846"
"BROOKLYN BRIDGE","Brooklyn Bridge-City Hall","J,Z,4,5,6","40.712286","Lexington","-74.004371"
"SUTTER AVE-VAN SINDEREN AVE","Sutter Av","L","40.668527","Canarsie","-73.901765"
"FLATBUSH AVE & NOSTRAND AV","Flatbush Av-Brooklyn College","2,5","40.632750","Nostrand","-73.947375"
"67TH AVENUE-QUEENS BLVD","67 Av","M,R","40.727073","Queens","-73.853226"
"KINGSTON AVE/EASTERN PKWY","Kingston Av","3","40.669261","Eastern Parkway","-73.941948"
"WHITLOCK AVE-WESTCHESTER AV","Whitlock Av","6","40.827295","Pelham","-73.886082"
"ALABAMA AVENUE-FULTON ST","Alabama Av","J","40.676803","Jamaica","-73.899510"
"EAST BROADWAY-MADISON ST","East Broadway","F","40.713906","6th Avenue","-73.990014"
"28TH STREET-7TH AVENUE","28 St","1","40.747216","7th Ave-Bway","-73.993121"
"GRAHAM AVE-METROPOLITAN AVE","Graham Av","L","40.714439","Canarsie","-73.944190"
"FULTON ST & BROADWAY NASSAU","Fulton St","A,C,J,Z,2,3,4,5","40.710211","Nassau Loop","-74.007584"
"46TH ST-BLISS ST","46 St-Bliss St","7","40.743217","Flushing","-73.918564"
"WALL STREET","Wall St","4,5","40.707577","Lexington","-74.011731"
"182ND STREET-183RD STREET","182-183 Sts","B,D","40.856039","Concourse","-73.900449"
"42ND STREET & 3RD AVENUE","Grand Central-42 St","GS,4,5,6,7","40.750851","Flushing","-73.975078"
"86TH STREET-BROADWAY","86 St","1","40.788272","7th Ave-Bway","-73.976083"
"135TH STREET-LENOX AVENUE","135 St","2,3","40.814188","Lenox","-73.940618"
"52ND STREET-ROOSEVELT AVE","52 St","7","40.743933","Flushing","-73.913003"
"86TH STREET-LEXINGTON AVE","86 St","4,5,6","40.779661","Lexington","-73.955302"
"NORTH CONDUIT AVE-COHANCEY","Aqueduct-North Conduit Av","A","40.667018","Rockaway","-73.833480"
"VAN WYCK BLVD-MAIN STREET","Briarwood-Van Wyck Blvd","F","40.709316","Queens","-73.819773"
"34TH STREET & 8TH AVENUE","34 St-Penn Station","A,C,E","40.751996","8th Avenue","-73.993327"
"FLUSHING AVENUE-MARCY AVE","Flushing Av","G","40.699985","Crosstown","-73.949895"
"23RD STREET & 5TH AVENUE","23 St","N,R","40.741378","Broadway","-73.988895"
"66TH STREET-BROADWAY","66 St-Lincoln Center","1","40.773457","7th Ave-Bway","-73.982004"
